City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Dezhou,CN,79.99,overcast clouds,37.4486,116.2925,Zhongtai International Hotel
2,Faanui,PF,77.11,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
5,Madang,PG,79.88,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
6,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
9,Westport,US,87.49,clear sky,41.1415,-73.3579,The Westport Inn
11,Carutapera,BR,77.34,broken clouds,-1.195,-46.02,Lidera
16,Maragogi,BR,75.9,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
18,Hasaki,JP,84.6,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
19,New Baltimore,US,83.05,broken clouds,42.6811,-82.7369,Northpointe Shores RV Resort
21,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
24,Yeghegnut,AM,77.09,clear sky,40.0919,44.1602,Mecamor Lake
33,Cururupu,BR,75.29,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
35,Aksu,CN,77.02,clear sky,41.1231,80.2644,Pudong Holiday Hotel
38,Guerrero Negro,MX,83.55,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
39,Hithadhoo,MV,81.52,overcast clouds,-0.6,73.0833,Scoop Guest House
41,Hilo,US,89.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
43,Jamestown,US,83.84,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
47,Atuona,PF,77.16,broken clouds,-9.8,-139.0333,Villa Enata
51,Pingdu,CN,80.38,heavy intensity rain,36.7844,119.9464,Dongfang Hotel
53,Sao Filipe,CV,79.23,overcast clouds,14.8961,-24.4956,Hotel Xaguate
62,High Level,CA,77.02,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
64,Cedar City,US,89.4,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
66,Gloversville,US,87.19,few clouds,43.0528,-74.3438,"Holiday Inn Johnstown-Gloversville, an IHG Hotel"
67,Kapaa,US,83.48,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
69,Kudahuvadhoo,MV,81.79,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
71,Lianzhou,CN,78.39,overcast clouds,24.7811,112.3825,Qingcheng Tourism Industry
76,Thompson,CA,75.81,broken clouds,55.7435,-97.8558,Burntwood Hotel
85,Halifax,CA,80.53,broken clouds,44.6453,-63.5724,Hotel Halifax
90,Victoria,HK,84.38,broken clouds,22.2855,114.1577,Mini Central
91,Itarema,BR,78.13,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
92,Loiza,PR,83.07,scattered clouds,18.4313,-65.8802,Vacation Realty
93,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
97,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
100,Palu,ID,75.7,light rain,-0.8917,119.8707,Hotel Santika Palu
104,Komsomolskiy,UZ,78.35,clear sky,40.4272,71.7189,Ikathouse
105,Bandarbeyla,SO,75.96,clear sky,9.4942,50.8122,JABIR HOTEL
108,Lompoc,US,85.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
111,Nishihara,JP,85.68,few clouds,26.1842,127.7558,Minshuku Agaihama
114,Bethel,US,86.09,light rain,41.3712,-73.414,Courtyard by Marriott Danbury
