City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,40.26,96,20,9.22,few clouds
1,Dezhou,CN,37.4486,116.2925,79.99,96,97,5.64,overcast clouds
2,Faanui,PF,-16.4833,-151.75,77.11,69,82,23.64,broken clouds
3,Rikitea,PF,-23.1203,-134.9692,72.34,69,100,32.14,overcast clouds
4,Kismayo,SO,-0.3582,42.5454,74.64,78,52,18.63,broken clouds
5,Madang,PG,-5.2246,145.7966,79.88,85,86,2.98,overcast clouds
6,Vila Velha,BR,-20.3297,-40.2925,75.15,81,0,16.11,clear sky
7,Mataura,NZ,-46.1927,168.8643,39.47,71,8,8.57,clear sky
8,Chokurdakh,RU,70.6333,147.9167,50.0,48,100,16.13,overcast clouds
9,Westport,US,41.1415,-73.3579,87.49,66,0,16.11,clear sky
10,Ribeira Grande,PT,38.5167,-28.7,74.41,83,26,15.61,light rain
11,Carutapera,BR,-1.195,-46.02,77.34,87,72,7.36,broken clouds
12,East London,ZA,-33.0153,27.9116,66.83,88,99,19.39,overcast clouds
13,Narsaq,GL,60.9167,-46.05,46.62,74,2,1.77,clear sky
14,Port Alfred,ZA,-33.5906,26.891,62.19,98,93,1.01,overcast clouds
15,Clyde River,CA,70.4692,-68.5914,42.17,79,82,3.44,broken clouds
16,Maragogi,BR,-9.0122,-35.2225,75.9,67,52,9.62,broken clouds
17,Codrington,AU,-38.2667,141.9667,43.11,79,4,6.49,clear sky
18,Hasaki,JP,35.7333,140.8333,84.6,83,9,13.94,clear sky
19,New Baltimore,US,42.6811,-82.7369,83.05,87,75,4.61,broken clouds
20,Ulaangom,MN,49.9811,92.0667,60.76,53,85,6.22,overcast clouds
21,Vaini,TO,-21.2,-175.2,80.76,89,20,9.22,few clouds
22,Koindu,GN,8.4386,-10.3253,69.51,99,49,4.36,scattered clouds
23,Hermanus,ZA,-34.4187,19.2345,49.8,86,43,2.55,scattered clouds
24,Yeghegnut,AM,40.0919,44.1602,77.09,66,7,4.18,clear sky
25,Inta,RU,66.0317,60.1659,67.59,61,1,12.97,clear sky
26,Albany,US,42.6001,-73.9662,87.64,69,54,7.78,broken clouds
27,Port Elizabeth,ZA,-33.918,25.5701,61.32,99,100,4.61,light intensity shower rain
28,Wageningen,NL,51.9667,5.6667,60.06,84,20,2.3,few clouds
29,Bayan,CN,46.0833,127.4,62.82,83,1,8.52,clear sky
30,Punta Arenas,CL,-53.15,-70.9167,37.51,81,20,11.5,few clouds
31,Cape Town,ZA,-33.9258,18.4232,57.11,89,30,4.0,scattered clouds
32,Sitka,US,57.0531,-135.33,57.09,82,100,6.91,moderate rain
33,Cururupu,BR,-1.8283,-44.8683,75.29,88,50,4.43,scattered clouds
34,Qaanaaq,GL,77.484,-69.3632,43.39,54,3,4.65,clear sky
35,Aksu,CN,41.1231,80.2644,77.02,43,0,3.85,clear sky
36,Mgachi,RU,51.05,142.2667,60.76,98,100,7.92,light rain
37,Saskylakh,RU,71.9167,114.0833,51.04,61,100,7.81,overcast clouds
38,Guerrero Negro,MX,27.9769,-114.0611,83.55,60,96,16.62,overcast clouds
39,Hithadhoo,MV,-0.6,73.0833,81.52,72,99,5.06,overcast clouds
40,Semey,KZ,50.4111,80.2275,55.62,62,0,0.0,clear sky
41,Hilo,US,19.7297,-155.09,89.28,73,40,11.5,scattered clouds
42,Berdigestyakh,RU,62.0989,126.6992,56.35,86,97,6.69,overcast clouds
43,Jamestown,US,42.097,-79.2353,83.84,69,0,9.22,clear sky
