City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2022-08-07 22:07:25,-21.2,-175.2,80.76,89,20,8.05
1,Belmonte,BR,2022-08-07 22:07:25,-15.8631,-38.8828,72.79,75,15,8.59
2,Albany,US,2022-08-07 22:04:28,42.6001,-73.9662,90.64,69,64,1.01
3,Krasnoselkup,RU,2022-08-07 22:07:26,65.7,82.4667,58.71,78,100,8.23
4,Rikitea,PF,2022-08-07 22:02:46,-23.1203,-134.9692,72.52,69,100,32.12
5,Puerto Ayora,EC,2022-08-07 22:07:26,-0.7393,-90.3518,75.16,88,62,4.0
6,Ushuaia,AR,2022-08-07 22:03:10,-54.8,-68.3,38.86,65,0,10.36
7,Cabo San Lucas,MX,2022-08-07 22:04:26,22.8909,-109.9124,93.61,72,75,8.05
8,Dikson,RU,2022-08-07 22:07:27,73.5069,80.5464,42.04,100,100,9.95
9,Georgetown,MY,2022-08-07 22:03:26,5.4112,100.3354,80.89,87,20,0.0
10,Saint-Philippe,RE,2022-08-07 22:07:27,-21.3585,55.7679,67.59,81,18,5.17
11,Cantanhede,BR,2022-08-07 22:07:28,-3.6333,-44.3767,80.13,55,1,3.38
12,Kavaratti,IN,2022-08-07 22:07:28,10.5669,72.642,80.49,83,99,23.89
13,Verkhnyaya Inta,RU,2022-08-07 22:07:29,65.9811,60.3094,67.3,60,1,10.58
14,Mataura,NZ,2022-08-07 22:07:29,-46.1927,168.8643,37.47,76,9,7.52
15,Rabo De Peixe,PT,2022-08-07 22:07:29,37.8,-25.5833,71.11,88,40,4.61
16,Beira,MZ,2022-08-07 22:07:30,-19.8436,34.8389,66.94,86,0,7.49
17,Hambantota,LK,2022-08-07 22:07:30,6.1241,81.1185,77.34,100,0,10.36
18,Kaitangata,NZ,2022-08-07 22:07:30,-46.2817,169.8464,40.91,60,81,12.24
19,Hermanus,ZA,2022-08-07 22:07:31,-34.4187,19.2345,49.8,86,54,2.33
20,Smithers,CA,2022-08-07 22:07:31,54.7804,-127.1743,74.19,42,41,7.87
21,Bredasdorp,ZA,2022-08-07 22:07:32,-34.5322,20.0403,53.42,94,22,4.63
22,Tuktoyaktuk,CA,2022-08-07 22:07:32,69.4541,-133.0374,44.33,74,81,6.51
23,Hobart,AU,2022-08-07 22:07:32,-42.8794,147.3294,35.06,97,20,8.05
24,Barrow,US,2022-08-07 22:07:33,71.2906,-156.7887,44.62,70,100,8.05
25,Port Elizabeth,ZA,2022-08-07 22:03:20,-33.918,25.5701,61.32,99,100,4.0
26,Yellowknife,CA,2022-08-07 22:07:33,62.456,-114.3525,58.95,84,100,10.67
27,Nanortalik,GL,2022-08-07 22:07:34,60.1432,-45.2371,45.09,82,7,8.84
28,Bentiu,SS,2022-08-07 22:07:34,9.2333,29.8333,74.35,88,100,3.71
29,Komsomolskiy,UZ,2022-08-07 22:07:34,40.4272,71.7189,79.23,25,6,2.98
30,Umm Kaddadah,SD,2022-08-07 22:07:35,13.6017,26.6876,84.99,49,94,10.4
31,Torbay,CA,2022-08-07 22:07:35,47.6666,-52.7314,72.75,86,48,17.36
